pos,"আলহামদুলিল্লাহ একজন বাঙ্গালী হিসাবে গর্ব বোধ করছি Mustafizur Rahman কে নিয়ে , আমাদের সোনার ছেলে আইসিসির বর্ষসেরা উদীয়মান ক্রিকেটার কি যে আনন্দ লাগে আমার ভাই বলে বুঝাতে পারবো না৷"
pos,"অভিনন্দন তোমা‌কে মুস্তা‌ফিজ, তু‌মি এর উপযুক্ত ছি‌লে, তাই তু‌মি পে‌য়েছ। আমরা সবাই গ‌র্বিত !!!"
pos,"আলহামদুলিল্লাহ। অভিনন্দন সাতক্ষীরা বাসির অহংকার বাংলার টাইগার দ্যা ফিসকে। অনেক অনেক শুভেচ্ছা ও অফুরন্ত শুভকামনা। শুভ, সুন্দর এবং কল্যাণময় হোক মোস্তাফিজ তোমার আগামীর পথচলা..."
pos,ফুটবল যাদুকর যেমন মেসি নেইমার রোনালদো তেমনি ক্রিকেট যাদুকর মুস্তাফিজ আমরা সত্তি গর্বিত বাংলাদেশি ৷৷ ৷৷৷
pos,"একজন বাংলাদেশী হিসাবে আমি গর্বিত । আরও গর্বিত যে আমার দেশের একজন ক্রিকেটার এই বিরল সম্মান অর্জন করেছে । এগিয়ে যাও মুস্তা, বিশ্ব দরবারে বাংলাদেশকে পরিচিত কর, জানিয়ে দাও তোমার আগমনী বার্তা ।"
neg,কাংলুরা এবার লুঙ্গি তুলে নাচতে থাকবে মনে হবে ওরা ওয়ার্ল্ড কাপে প্রথমবার সেমিফাইনালে উঠেছে
pos,বাংলাদেশের তরুণ তারকা পেসার মুস্তাফিজুর রহমান ইন্টারন্যাশনাল ক্রিকেট কাউন্সিল বা আইসিসির বর্ষসেরা উদীয়মান ক্রিকেটার নির্বাচিত হয়েছেন। মুস্তাফিজই প্রথম কোন বাংলাদেশী খেলোয়াড় যিনি আইসিসির বার্ষিক কোন পদক জিতলেন। যে সময়ের পারফরমেন্স বিবেচনায় নিয়ে আইসিসি মুস্তাফিজকে সেরা উদীয়মান খেলোয়াড় হিসেবে নির্বাচিত করেছে সে সময়ে তিনটি ওয়ানডে ম্যাচ খেলে আটটি এবং ১০টি টি-টুয়েন্টি খেলে ১৯ টি উইকেট পেয়েছেন। আইসিসির ওয়েবসাইটে দেয়া প্রতিক্রিয়ায় মুস্তাফিজ বলেছেন এটাই তার জন্য বছরের সেরা উপহার এবং সামনের বছর গুলোতে ভালো করতে এটা তাকে প্রেরণা যোগাবে। ওদিকে এবারের আইসিসির বর্ষসেরা খেলোয়াড় নির্বাচিত হয়েছেন ভারতের রবীচন্দ্রন অশ্বীন। সেরা টেস্ট খেলোয়াড়ও নির্বাচিত হয়েছেন তিনি। একদিনের আন্তর্জাতিক ম্যাচের সেরা খেলোয়াড় মনোনীত হয়েছেন দক্ষিণ আফ্রিকার কুইন্টন ডি কক।
pos,বিজয়ের মাসে ১৬ কোটি মানুষের বিজয়ের আনন্দকে ১৬ কোটি গুণ বাড়িয়ে দেওয়ার জন্য বিশ্বের ভয়ংকর কাটার মাষ্টার বাংলাদেশর অহংকার মোস্তাফিজকে ১৬ কোটি স্যালুট👌👌👌
pos,তোমাকে সুন্দর উপহার পাওয়ার জন্য ধন্যবাদ মুস্তাফিজ।সত্যিই তুমি আগামীর ওয়াসিম আকরাম।তোমার বোলিংয়ে অনেক মায়া।
pos,"কীভাবে একটা লোক বিশ্বের মধ্যমনি হয়ে উঠে মুস্তাফিজ তারি প্রমান, সত্যি এ যেন কোন,ঐশ্বরিক শক্তির ক্ষমতা ধর* যার মাধ্যমে বাংলাদেশকে পরিচয় করিয়ে দেবার মন্ত্র রয়েছে*"
